exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
14,10,0,0,0,0,0,0,9976,0.0,0,0.0
14,9,0,0,0,0,0,1,9976,0.0,1,0.2
14,9,0,0,0,0,0,1,9976,0.0,2,0.4
14,8,0,0,0,0,0,2,9976,0.0,3,0.6
15,7,0,0,0,0,0,3,9975,0.0,4,0.8
15,6,0,0,0,0,0,4,9975,0.0,5,1.0
15,6,0,0,0,0,0,4,9975,0.0,6,1.2
14,6,0,0,0,0,0,5,9975,0.0,7,1.4
14,6,0,0,0,0,0,5,9975,0.0,8,1.6
14,6,0,0,0,0,0,5,9975,0.0,9,1.8
15,6,0,0,0,0,0,5,9974,0.0,10,2.0
16,6,0,0,0,0,0,5,9973,0.0,11,2.2
16,6,0,0,0,0,0,5,9973,0.0,12,2.4
17,6,0,0,0,0,0,6,9971,0.0,13,2.6
20,6,0,0,0,0,0,6,9968,0.0,14,2.8
22,6,0,0,0,0,0,7,9965,0.0,15,3.0
22,6,0,0,0,0,0,7,9965,0.0,16,3.2
23,5,0,0,0,0,0,8,9964,0.0,17,3.4
23,7,0,0,0,0,0,8,9962,0.0,18,3.6
24,7,0,0,0,0,0,9,9960,0.0,19,3.8
24,8,0,0,0,0,0,9,9959,0.0,20,4.0
23,8,0,0,0,0,0,10,9959,0.0,21,4.2
21,10,0,0,0,0,0,10,9959,0.0,22,4.4
19,13,0,0,0,0,0,10,9958,0.0,23,4.6
19,13,0,0,0,0,0,11,9957,0.0,24,4.8
21,11,0,0,0,0,0,13,9955,0.0,25,5.0
21,12,0,0,0,0,0,14,9953,0.0,26,5.2
21,12,0,0,0,0,0,14,9953,0.0,27,5.4
21,11,0,0,0,0,0,15,9953,0.0,28,5.6
21,10,0,0,0,0,0,16,9953,0.0,29,5.8
21,9,0,0,0,0,0,17,9953,0.0,30,6.0
22,9,0,0,0,0,0,17,9952,0.0,31,6.2
22,8,0,0,0,0,0,19,9951,0.0,32,6.4
25,8,0,0,0,0,0,19,9948,0.0,33,6.6
25,8,0,0,0,0,0,20,9947,0.0,34,6.8
26,8,0,0,0,0,0,20,9946,0.0,35,7.0
24,10,0,0,0,0,0,20,9946,0.0,36,7.2
30,9,0,0,0,0,0,21,9940,0.0,37,7.4
30,10,0,0,0,0,0,22,9938,0.0,38,7.6
29,10,0,0,0,0,0,23,9938,0.0,39,7.8
27,13,0,0,0,0,0,23,9937,0.0,40,8.0
29,13,0,0,0,0,0,23,9935,0.0,41,8.2
29,14,0,0,0,0,0,25,9932,0.0,42,8.4
29,14,0,0,0,0,0,25,9932,0.0,43,8.6
30,15,0,0,0,0,0,26,9929,0.0,44,8.8
30,15,0,0,0,0,0,28,9927,0.0,45,9.0
32,16,0,0,0,0,0,29,9923,0.0,46,9.2
34,15,0,0,0,0,0,30,9921,0.0,47,9.4
35,14,0,0,0,0,0,32,9919,0.0,48,9.6
36,15,0,0,0,0,0,32,9917,0.0,49,9.8
40,13,0,0,0,0,0,34,9913,0.0,50,10.0
43,13,0,0,0,0,0,34,9910,0.0,51,10.2
47,13,0,0,0,0,0,34,9906,0.0,52,10.4
50,14,0,0,0,0,0,36,9900,0.0,53,10.6
52,14,0,0,0,0,0,36,9898,0.0,54,10.8
53,19,0,0,0,0,0,36,9892,0.0,55,11.0
56,19,0,0,0,0,0,38,9887,0.0,56,11.2
61,17,0,0,0,0,0,40,9882,0.0,57,11.4
61,20,0,0,0,0,0,40,9879,0.0,58,11.6
66,20,0,0,0,0,0,41,9873,0.0,59,11.8
70,19,0,0,0,0,0,43,9868,0.0,60,12.0
72,20,0,0,0,0,0,43,9865,0.0,61,12.2
72,22,0,0,0,0,0,43,9863,0.0,62,12.4
72,23,0,0,0,0,0,45,9860,0.0,63,12.6
81,22,0,0,0,0,0,46,9851,0.0,64,12.8
80,23,0,0,0,0,0,48,9849,0.0,65,13.0
79,27,0,0,0,0,0,50,9844,0.0,66,13.2
84,28,0,0,0,0,0,52,9836,0.0,67,13.4
90,28,0,0,0,0,0,54,9828,0.0,68,13.6
94,28,0,0,0,0,0,56,9822,0.0,69,13.8
94,28,0,0,0,0,0,60,9818,0.0,70,14.0
102,29,0,0,0,0,0,60,9809,0.0,71,14.2
110,29,0,0,0,0,0,62,9799,0.0,72,14.4
110,33,0,0,0,0,0,63,9794,0.0,73,14.6
116,34,0,0,0,0,0,64,9786,0.0,74,14.8
122,38,0,0,0,0,0,64,9776,0.0,75,15.0
123,39,0,0,0,0,0,68,9770,0.0,76,15.2
136,40,0,0,0,0,0,71,9753,0.0,77,15.4
143,44,0,0,0,0,0,74,9739,0.0,78,15.6
154,44,0,0,0,0,0,75,9727,0.0,79,15.8
156,44,0,0,0,0,0,81,9719,0.0,80,16.0
166,50,0,0,0,0,0,82,9702,0.0,81,16.2
169,57,0,0,0,0,0,84,9690,0.0,82,16.4
180,56,0,0,0,0,0,89,9675,0.0,83,16.6
195,61,0,0,0,0,0,91,9653,0.0,84,16.8
203,67,0,0,0,0,0,94,9636,0.0,85,17.0
215,71,0,0,0,0,0,97,9617,0.0,86,17.2
233,72,0,0,0,0,0,104,9591,0.0,87,17.4
258,77,0,0,0,0,0,108,9557,0.0,88,17.6
265,81,0,0,0,0,0,115,9539,0.0,89,17.8
278,92,0,0,0,0,0,117,9513,0.0,90,18.0
293,91,0,0,0,0,0,126,9490,0.0,91,18.2
305,93,0,0,0,0,0,133,9469,0.0,92,18.4
329,96,0,0,0,0,0,136,9439,0.0,93,18.6
337,105,0,0,0,0,0,144,9414,0.0,94,18.8
348,108,0,0,0,0,0,153,9391,0.0,95,19.0
364,117,0,0,0,0,0,161,9358,0.0,96,19.2
364,135,0,0,0,0,0,163,9338,0.0,97,19.4
387,144,0,0,0,0,0,170,9299,0.0,98,19.6
415,148,0,0,0,0,0,182,9255,0.0,99,19.8
443,155,0,0,0,0,0,188,9214,0.0,100,20.0
461,167,0,0,0,0,0,200,9172,0.0,101,20.2
477,173,0,0,0,0,0,211,9139,0.0,102,20.4
496,177,0,0,0,0,0,224,9103,0.0,103,20.6
522,183,0,0,0,0,0,232,9063,0.0,104,20.8
544,190,0,0,0,0,0,241,9025,0.0,105,21.0
563,201,0,0,0,0,0,255,8981,0.0,106,21.2
583,210,0,0,0,0,0,266,8941,0.0,107,21.4
602,218,0,0,0,0,0,280,8900,0.0,108,21.6
614,222,0,0,0,0,0,300,8864,0.0,109,21.8
641,226,0,0,0,0,0,315,8818,0.0,110,22.0
654,239,0,0,0,0,0,331,8776,0.0,111,22.2
667,253,0,0,0,0,0,340,8740,0.0,112,22.4
689,259,0,0,0,0,0,358,8694,0.0,113,22.6
707,271,0,0,0,0,0,369,8653,0.0,114,22.8
733,288,0,0,0,0,0,378,8601,0.0,115,23.0
750,309,0,0,0,0,0,390,8551,0.0,116,23.2
757,324,0,0,0,0,0,404,8515,0.0,117,23.4
786,335,0,0,0,0,0,419,8460,0.0,118,23.6
798,346,0,0,0,0,0,440,8416,0.0,119,23.8
810,347,0,0,0,0,0,468,8375,0.0,120,24.0
833,356,0,0,0,0,0,484,8327,0.0,121,24.2
837,370,0,0,0,0,0,512,8281,0.0,122,24.4
844,370,0,0,0,0,0,542,8244,0.0,123,24.6
861,386,0,0,0,0,0,560,8193,0.0,124,24.8
886,391,0,0,0,0,0,584,8139,0.0,125,25.0
892,402,0,0,0,0,0,610,8096,0.0,126,25.2
887,420,0,0,0,0,0,633,8060,0.0,127,25.4
904,436,0,0,0,0,0,652,8008,0.0,128,25.6
909,454,0,0,0,0,0,666,7971,0.0,129,25.8
940,455,0,0,0,0,0,694,7911,0.0,130,26.0
957,464,0,0,0,0,0,720,7859,0.0,131,26.2
976,475,0,0,0,0,0,741,7808,0.0,132,26.4
987,485,0,0,0,0,0,766,7762,0.0,133,26.6
1005,494,0,0,0,0,0,797,7704,0.0,134,26.8
1023,501,0,0,0,0,0,830,7646,0.0,135,27.0
1038,504,0,0,0,0,0,859,7599,0.0,136,27.2
1039,526,0,0,0,0,0,886,7549,0.0,137,27.4
1062,524,0,0,0,0,0,921,7493,0.0,138,27.6
1081,527,0,0,0,0,0,958,7434,0.0,139,27.8
1088,537,0,0,0,0,0,1000,7375,0.0,140,28.0
1093,548,0,0,0,0,0,1035,7324,0.0,141,28.2
1107,547,0,0,0,0,0,1074,7272,0.0,142,28.4
1105,565,0,0,0,0,0,1105,7225,0.0,143,28.6
1114,570,0,0,0,0,0,1137,7179,0.0,144,28.8
1111,581,0,0,0,0,0,1163,7145,0.0,145,29.0
1107,587,0,0,0,0,0,1206,7100,0.0,146,29.2
1109,602,0,0,0,0,0,1238,7051,0.0,147,29.4
1106,612,0,0,0,0,0,1275,7007,0.0,148,29.6
1098,617,0,0,0,0,0,1311,6974,0.0,149,29.8
1111,613,0,0,0,0,0,1362,6914,0.0,150,30.0
1114,611,0,0,0,0,0,1405,6870,0.0,151,30.2
