exposed,infected,n_general_tested,n_infected_tested,n_neighbors_tested,n_neighbors_traced,quarantined,recovered,susceptible,test_rate,step,day
14,10,0,0,0,0,0,0,9976,0.0,0,0.0
16,9,0,0,0,0,0,1,9974,0.0,1,0.2
16,9,0,0,0,0,0,1,9974,0.0,2,0.4
16,8,0,0,0,0,0,2,9974,0.0,3,0.6
17,8,0,0,0,0,0,2,9973,0.0,4,0.8
18,8,0,0,0,0,0,2,9972,0.0,5,1.0
19,9,0,0,0,0,0,2,9970,0.0,6,1.2
20,10,0,0,0,0,0,2,9968,0.0,7,1.4
21,10,0,0,0,0,0,3,9966,0.0,8,1.6
22,10,0,0,0,0,0,3,9965,0.0,9,1.8
21,12,0,0,0,0,0,3,9964,0.0,10,2.0
21,11,0,0,0,0,0,4,9964,0.0,11,2.2
22,11,0,0,0,0,0,5,9962,0.0,12,2.4
20,14,0,0,0,0,0,5,9961,0.0,13,2.6
21,15,0,0,0,0,0,6,9958,0.0,14,2.8
23,16,0,0,0,0,0,6,9955,0.0,15,3.0
24,16,0,0,0,0,0,6,9954,0.0,16,3.2
22,19,0,0,0,0,0,6,9953,0.0,17,3.4
23,18,0,0,0,0,0,8,9951,0.0,18,3.6
21,19,0,0,0,0,0,9,9951,0.0,19,3.8
24,18,0,0,0,0,0,10,9948,0.0,20,4.0
24,18,0,0,0,0,0,10,9948,0.0,21,4.2
26,18,0,0,0,0,0,10,9946,0.0,22,4.4
27,17,0,0,0,0,0,13,9943,0.0,23,4.6
29,17,0,0,0,0,0,14,9940,0.0,24,4.8
32,16,0,0,0,0,0,15,9937,0.0,25,5.0
34,13,0,0,0,0,0,18,9935,0.0,26,5.2
35,12,0,0,0,0,0,19,9934,0.0,27,5.4
35,12,0,0,0,0,0,22,9931,0.0,28,5.6
37,13,0,0,0,0,0,22,9928,0.0,29,5.8
38,14,0,0,0,0,0,22,9926,0.0,30,6.0
39,15,0,0,0,0,0,23,9923,0.0,31,6.2
39,15,0,0,0,0,0,24,9922,0.0,32,6.4
45,15,0,0,0,0,0,24,9916,0.0,33,6.6
